"状态","功能","给小鸭CEO/VC的解释","当前判断","验证下一步"
"回答约束","不要过度承诺","回答 ship status 时必须说最小 demo/smoke 已验证、完整测试不绿、doctor 只是部分验证；不要把部分验证说成全量产品闭环。","不要说 `pnpm teamagent --help` 出 JSON；它只是成功打印 help/命令菜单；回答当前 ship status 时只根据本 CSV 汇总，不要自行运行 `pnpm test`、bugreport verify 或其它验证命令。","如果 claudefast 回答过度技术化、claim full green、或漏掉最新状态，更新本 CSV 后重跑。"
"已验证","产品入口能打开","鸭总能看到产品菜单，说明不是空壳，能被真实启动。","可作为最小演示卖点；`pnpm teamagent --help` 已通过。","保持 smoke 验证，发版前再跑一次。"
"已验证","最小学习闭环演示","系统能演示记录经验、编译规则、展示归因这条最小链路。","可作为核心概念 demo；`pnpm teamagent skeleton-demo` 已通过。","发版前确认 walking skeleton 仍通过。"
"已验证","安全试吃沙箱","新改动可以先放进隔离环境里试，不直接污染主工作区。","DOGFOOD Tier 2 / Tier 3 sandbox probe 已通过；可讲沙箱隔离本体。","不要 claim Tier 4，除非 Docker 环境下跑通。"
"已验证","快速调研流程","遇到复杂问题，可以让多个快 agent 并行调研，再给 CEO 汇总结论。","FASTPROBE 基础流程和关键 flag 已验证。","重活继续先跑 `claudefast -h`，再最多 8 路并行。"
"已验证","PR 后复查流程","合 PR 后不是只看绿灯，还会继续抓 Codex review，直到问题清干净。","POSTPR canned answer 已验证通过。","真实 PR 仍需实际 fetch Codex inline comments。"
"已验证","最小质量线","基础检查和最小冒烟测试通过，说明核心小版本能跑。","`pnpm typecheck` 通过；最小 release-smoke 4 files / 24 tests 通过。","发版前把完整测试失败项单独列为 blocker 或明确 punt。"
"部分验证","环境体检","系统能检查环境健康，告诉团队哪里准备好了、哪里还缺初始化。","能展示，但当前 knowledge-db 未初始化，`doctor --json` 不是全绿。","初始化知识库后重跑 doctor，确认 exit 0。"
"已声明未验证","装上后后台运行","用户正常用 Claude Code，TeamAgent 在背后学习、提醒和记录，不要求用户改变工作方式。","这是核心产品主张，但本轮没有从干净安装到后台运行做端到端验证。","用干净环境从安装开始走一遍，确认无需额外配置也能自动工作。"
"部分验证","AI 犯错前提醒","AI 准备走错路时，系统提前提醒或建议更好的做法，避免错误真正落地。","真实 PreToolUse bundle 在已有规则条件下验证通过：临时写入 moment -> dayjs 规则后，`npm install moment` 会收到 TeamAgent 经验提醒；但默认知识库未命中该例子，不能说所有常见错误都会自动拦住。","补一组默认规则或发版样例，再验证无需预置临时规则也会提醒。"
"部分验证","纠正一次，下次记住","用户纠正 AI 一次后，系统把这次教训变成以后可复用的经验。","已验证纠正识别、规则提取、写入知识库，以及 Stop 流程继续编译；但未验证下一次真实 AI 会按新规则行动。","开启新会话复现同类场景，确认 AI 实际采用新规则。"
"已验证","知识会进化","有用经验会更可信，没用或过时经验会降级，避免团队大脑越来越乱。","最小验证通过：校准测试覆盖成功/失败信号、置信度、tier、demerit 变化，Stop 流程会跑 calibrate。","发版前可保留为最小已验证；若要讲长期效果，需要真实使用数据。"
"部分验证","三层知识管理","个人经验、团队经验、通用经验分开管理，避免私人习惯污染团队规则。","personal/global 真实 CLI 验证通过；team 当前为 0，team scope 在 Phase 4 前未独立支持，`pitfall --level=team` 会映射成 personal。","团队层落地前只能说个人层和全局层已分开，不能说三层完整可用。"
"已验证","看得见的统计","CEO 可以看到系统学到了多少经验、拦住多少坑、团队是否真的在变聪明。","`teamagent stats` 已验证可显示总数、active、personal/team/global 分布、分类分布和最近新增。","若作为 CEO demo，补一次截图或固定输出样例。"
"已验证","主动记录坑点","用户不用等 AI 犯错，可以主动把一个坑记进系统，让团队以后少踩一次。","`pitfall --non-interactive` 已验证可写入临时 knowledge.db，并在 stats/review 中可见。","若要验证提醒效果，再复现相关场景确认命中。"
"部分验证","团队审核门","个人经验进入团队前先检查，防止坏知识、重复知识或敏感内容污染大家。","`review-candidates` approve 流程已验证可经人工输入批准后写入知识库；但 CLI help 未见 team submit，team scope 未独立支持。","需要完成个人经验提交到团队知识库的多人/团队闭环验证。"
"失败/不稳定","完整测试绿灯","不能说整船过检，因为完整 test gate 还不是绿的。","`pnpm test` 当前失败：2 个真实 E2E 30s timeout。","修复或明确隔离 `e2e-evaluate` 与 `sandbox-all-features` timeout。"
"失败/不稳定","真实 E2E 评估流程","真实试驾没跑完，不能当已验证卖点。","`packages/cli/src/__tests__/e2e-evaluate.test.ts` timeout。","定位超时原因，跑到 exit 0 后再 claim。"
"失败/不稳定","全功能沙箱 E2E","全套沙盒演练没跑完，不能 claim 全场景安全。","`packages/cli/src/__tests__/sandbox-all-features.test.ts` timeout。","定位超时原因，跑到 exit 0 后再 claim。"
"失败/不稳定","报 bug 固定流程","报 bug 模板当前没过验证，不能当稳定交付功能。","`docs/bugreport/verify-canned-answer.sh` 今天失败。","修复 canned answer 或验证脚本后重跑。"
"失败/不稳定","DOGFOOD 固定话术","沙箱本体可用，但固定回答验证不稳定。","两个 subagent 结果冲突：一个 PASS，一个 FAIL。","稳定 canned answer 验证后再把话术当成 release claim。"
"文档规划","团队经验自动共享","张三踩过的坑，李四明天的 AI 自动知道。","这是最强 CEO 故事，但本轮未验证。","需要双用户或双 instance 真实同步验证。"
"文档规划","新同事继承团队经验","新人第一天就像带着老员工经验开工。","融资故事强，但本轮未验证。","需要干净新用户环境验证 onboarding。"
"文档规划","团队知识自动同步","不用开会、不用手动写文档，经验自动上传下载。","Phase 级规划，本轮未验证。","需要上传、下载、冲突、回滚完整链路。"
"文档规划","隐私脱敏","经验共享前先挡住密钥、邮箱、内部路径等敏感信息。","团队化前必须验证，本轮未验证。","准备敏感样本，确认会拦截或打码。"
"文档规划","多工具支持","未来同一套团队大脑可给 Claude、Codex、Cursor 等工具用。","远期扩展卖点，本轮未验证。","至少完成 Claude 与 Codex hard-match 验证。"
"文档规划","收益周报","用数据证明团队是否真的少犯重复错误。","适合 CEO/VC 看 ROI，目前是计划。","定义指标并跑一周以上真实使用数据。"
